sex,dose,type_vax,period,Ageband,B_COAGDIS_AESI_b,B_DIC_AESI_b,B_HAEMOPHAGOLYNPHOHISTIO_AESI_b,B_ITP_AESI_b,B_TTS_AESI_b,C_ARRH_AESI_b,C_CAD_AESI_b,C_MYOCARD_AESI_b,C_PERICARD_AESI_b,D_LIVERACUTE_AESI_b,D_PANCRACUTE_AESI_b,E_DM1_AESI_b,E_THYROIDAUTOIMM_AESI_b,E_THYROIDSUBACUTE_AESI_b,G_KIACUTE_AESI_b,Im_KAWASAKI_AESI_b,M_RHABDOMYOLISIS_AESI_b,N_ADEM_AESI_b,N_BELLP_AESI_b,N_CONVULGEN_AESI_b,N_CVST_AESI_b,N_GBS_AESI_b,N_HEARINGLOSS_AESI_b,N_MENINGOENC_AESI_b,N_MYELITISTRANSV_AESI_b,N_NARCOLEPSY_AESI_b,N_STROKEHEMO_AESI_b,O_DEATHSUDDEN_AESI_b,O_MIS_AESI_b,R_ARDS_AESI_b,Sk_ERYTHMULTI_AESI_b,Sk_SCAR_AESI_b,SO_ANOSMIAAGEUSIA_AESI_b,V_CHILBLAIN_AESI_b,V_MICROANGIO_AESI_b,V_THROMBOSISARTERIALALGOR_AESI_b,V_VASCULITISSINGLEORG_AESI_b,V_VTEALGORITHM_AESI_b,C_VALVULAR_COV_b,D_DIVERTICULITIS_AESI_b,D_GALLSTONES_COV_b,D_LIVERCIRRHOSIS_COV_b,E_GOUT_COV_b,G_UTI_COV_b,I_CLOSTRIDIUMD_COV_b,I_INFLUENZA_COV_b,Im_SJOGRENS_COV_b,M_FRACTURES_COV_b,M_OSTEOARTHRITIS_COV_b,M_OSTEOMYELITIS_COV_b,M_REACTIVEARTHRITIS_COV_b,Ment_ORGPSYCHOSIS_COV_b,N_TRIGEMINALNEURALGIA_COV_b,SO_CONJUNCTIVITIS_COV_b,SO_OTITISEXT_COV_b,V_RENOVASCULAR_COV_b,Im_ANAPHYLAXIS_AESI_b,IR_B_COAGDIS_AESI,lb_B_COAGDIS_AESI,ub_B_COAGDIS_AESI,IR_B_DIC_AESI,lb_B_DIC_AESI,ub_B_DIC_AESI,IR_B_HAEMOPHAGOLYNPHOHISTIO_AESI,lb_B_HAEMOPHAGOLYNPHOHISTIO_AESI,ub_B_HAEMOPHAGOLYNPHOHISTIO_AESI,IR_B_ITP_AESI,lb_B_ITP_AESI,ub_B_ITP_AESI,IR_B_TTS_AESI,lb_B_TTS_AESI,ub_B_TTS_AESI,IR_C_ARRH_AESI,lb_C_ARRH_AESI,ub_C_ARRH_AESI,IR_C_CAD_AESI,lb_C_CAD_AESI,ub_C_CAD_AESI,IR_C_MYOCARD_AESI,lb_C_MYOCARD_AESI,ub_C_MYOCARD_AESI,IR_C_PERICARD_AESI,lb_C_PERICARD_AESI,ub_C_PERICARD_AESI,IR_D_LIVERACUTE_AESI,lb_D_LIVERACUTE_AESI,ub_D_LIVERACUTE_AESI,IR_D_PANCRACUTE_AESI,lb_D_PANCRACUTE_AESI,ub_D_PANCRACUTE_AESI,IR_E_DM1_AESI,lb_E_DM1_AESI,ub_E_DM1_AESI,IR_E_THYROIDAUTOIMM_AESI,lb_E_THYROIDAUTOIMM_AESI,ub_E_THYROIDAUTOIMM_AESI,IR_E_THYROIDSUBACUTE_AESI,lb_E_THYROIDSUBACUTE_AESI,ub_E_THYROIDSUBACUTE_AESI,IR_G_KIACUTE_AESI,lb_G_KIACUTE_AESI,ub_G_KIACUTE_AESI,IR_Im_ANAPHYLAXIS_AESI,lb_Im_ANAPHYLAXIS_AESI,ub_Im_ANAPHYLAXIS_AESI,IR_Im_KAWASAKI_AESI,lb_Im_KAWASAKI_AESI,ub_Im_KAWASAKI_AESI,IR_M_RHABDOMYOLISIS_AESI,lb_M_RHABDOMYOLISIS_AESI,ub_M_RHABDOMYOLISIS_AESI,IR_N_ADEM_AESI,lb_N_ADEM_AESI,ub_N_ADEM_AESI,IR_N_BELLP_AESI,lb_N_BELLP_AESI,ub_N_BELLP_AESI,IR_N_CONVULGEN_AESI,lb_N_CONVULGEN_AESI,ub_N_CONVULGEN_AESI,IR_N_CVST_AESI,lb_N_CVST_AESI,ub_N_CVST_AESI,IR_N_GBS_AESI,lb_N_GBS_AESI,ub_N_GBS_AESI,IR_N_HEARINGLOSS_AESI,lb_N_HEARINGLOSS_AESI,ub_N_HEARINGLOSS_AESI,IR_N_MENINGOENC_AESI,lb_N_MENINGOENC_AESI,ub_N_MENINGOENC_AESI,IR_N_MYELITISTRANSV_AESI,lb_N_MYELITISTRANSV_AESI,ub_N_MYELITISTRANSV_AESI,IR_N_NARCOLEPSY_AESI,lb_N_NARCOLEPSY_AESI,ub_N_NARCOLEPSY_AESI,IR_N_STROKEHEMO_AESI,lb_N_STROKEHEMO_AESI,ub_N_STROKEHEMO_AESI,IR_O_DEATHSUDDEN_AESI,lb_O_DEATHSUDDEN_AESI,ub_O_DEATHSUDDEN_AESI,IR_O_MIS_AESI,lb_O_MIS_AESI,ub_O_MIS_AESI,IR_R_ARDS_AESI,lb_R_ARDS_AESI,ub_R_ARDS_AESI,IR_Sk_ERYTHMULTI_AESI,lb_Sk_ERYTHMULTI_AESI,ub_Sk_ERYTHMULTI_AESI,IR_Sk_SCAR_AESI,lb_Sk_SCAR_AESI,ub_Sk_SCAR_AESI,IR_SO_ANOSMIAAGEUSIA_AESI,lb_SO_ANOSMIAAGEUSIA_AESI,ub_SO_ANOSMIAAGEUSIA_AESI,IR_V_CHILBLAIN_AESI,lb_V_CHILBLAIN_AESI,ub_V_CHILBLAIN_AESI,IR_V_MICROANGIO_AESI,lb_V_MICROANGIO_AESI,ub_V_MICROANGIO_AESI,IR_V_THROMBOSISARTERIALALGOR_AESI,lb_V_THROMBOSISARTERIALALGOR_AESI,ub_V_THROMBOSISARTERIALALGOR_AESI,IR_V_VASCULITISSINGLEORG_AESI,lb_V_VASCULITISSINGLEORG_AESI,ub_V_VASCULITISSINGLEORG_AESI,IR_V_VTEALGORITHM_AESI,lb_V_VTEALGORITHM_AESI,ub_V_VTEALGORITHM_AESI,IR_C_VALVULAR_COV,lb_C_VALVULAR_COV,ub_C_VALVULAR_COV,IR_D_DIVERTICULITIS_AESI,lb_D_DIVERTICULITIS_AESI,ub_D_DIVERTICULITIS_AESI,IR_D_GALLSTONES_COV,lb_D_GALLSTONES_COV,ub_D_GALLSTONES_COV,IR_D_LIVERCIRRHOSIS_COV,lb_D_LIVERCIRRHOSIS_COV,ub_D_LIVERCIRRHOSIS_COV,IR_E_GOUT_COV,lb_E_GOUT_COV,ub_E_GOUT_COV,IR_G_UTI_COV,lb_G_UTI_COV,ub_G_UTI_COV,IR_I_CLOSTRIDIUMD_COV,lb_I_CLOSTRIDIUMD_COV,ub_I_CLOSTRIDIUMD_COV,IR_I_INFLUENZA_COV,lb_I_INFLUENZA_COV,ub_I_INFLUENZA_COV,IR_Im_SJOGRENS_COV,lb_Im_SJOGRENS_COV,ub_Im_SJOGRENS_COV,IR_M_FRACTURES_COV,lb_M_FRACTURES_COV,ub_M_FRACTURES_COV,IR_M_OSTEOARTHRITIS_COV,lb_M_OSTEOARTHRITIS_COV,ub_M_OSTEOARTHRITIS_COV,IR_M_OSTEOMYELITIS_COV,lb_M_OSTEOMYELITIS_COV,ub_M_OSTEOMYELITIS_COV,IR_M_REACTIVEARTHRITIS_COV,lb_M_REACTIVEARTHRITIS_COV,ub_M_REACTIVEARTHRITIS_COV,IR_Ment_ORGPSYCHOSIS_COV,lb_Ment_ORGPSYCHOSIS_COV,ub_Ment_ORGPSYCHOSIS_COV,IR_N_TRIGEMINALNEURALGIA_COV,lb_N_TRIGEMINALNEURALGIA_COV,ub_N_TRIGEMINALNEURALGIA_COV,IR_SO_CONJUNCTIVITIS_COV,lb_SO_CONJUNCTIVITIS_COV,ub_SO_CONJUNCTIVITIS_COV,IR_SO_OTITISEXT_COV,lb_SO_OTITISEXT_COV,ub_SO_OTITISEXT_COV,IR_V_RENOVASCULAR_COV,lb_V_RENOVASCULAR_COV,ub_V_RENOVASCULAR_COV
F,2,unk,21-27,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83
F,2,unk,21-27,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89
F,2,unk,21-27,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,520217.46,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53
F,2,unk,21-27,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,263671.86,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,274972.09,0,0,256640.61,0,0,256640.61,0,0,260108.73,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61,0,0,256640.61
F,2,unk,21-27,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,223814.49,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,223814.49,0,0,218727.8,0,0,221241.91,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,234732.27,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8,0,0,218727.8
F,2,unk,21-27,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356445.3,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,356445.3,0,0,356445.3,0,0,356445.3,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,356445.3,0,0,349964.47,0,0,356445.3,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,356445.3,0,0,349964.47,0,0,447628.98,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,356445.3,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
F,2,unk,21-27,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202611.01,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,202611.01,0,0,200500.48,0,0,202611.01,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,204766.45,0,0,198433.46,0,0,291637.06,0,0,200500.48,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,200500.48,0,0,198433.46,0,0,200500.48,0,0,198433.46,0,0,206968.24,0,0,209217.89,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46,0,0,198433.46
F,2,unk,21-27,80+,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68014.3,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,68014.3,0,0,68255.48,18235.15,461.67,101599.74,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65917.97,0,0,65692.99,0,0,65917.97,0,0,65692.99,0,0,66602.24,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65917.97,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,68255.48,0,0,65692.99,23825.83,603.22,132749.04,0,0,66144.49,0,0,65692.99,0,0,66372.57,0,0,65692.99,0,0,65692.99,0,0,66602.24,0,0,65692.99,0,0,65917.97,0,0,65692.99,0,0,67066.36,0,0,66372.57,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99,0,0,65692.99
F,2,unk,7-13,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
F,2,unk,7-13,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96
F,2,unk,7-13,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,886423.17,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25,0,0,847398.25
F,2,unk,7-13,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,469464.54,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81,0,0,458286.81
F,2,unk,7-13,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,249974.62,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,260108.73,0,0,243646.15,0,0,243646.15,0,0,246769.82,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15,0,0,243646.15
F,2,unk,7-13,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,209217.89,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,211516.99,0,0,204766.45,0,0,206968.24,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,226447.6,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,206968.24,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45,0,0,204766.45
F,2,unk,7-13,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283655.41,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,283655.41,0,0,283655.41,0,0,287898.12,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,283655.41,0,0,279535.94,0,0,283655.41,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,283655.41,0,0,279535.94,0,0,338533.47,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,283655.41,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94,0,0,279535.94
